End of Period,AAPL,ABBV,ADBE,AMZN,BKNG,BUD,BX,C,CHH,CICHY,CS,CSCO,CVS,DAL,DAR,EXPE,FDP,H,HLT,HPQ,IHG,INTU,ISRG,JNJ,LLY,MAR,MET,MKC,MKL,MRK,NVDA,NWL,ORCL,PFE,PRU,PVH,SFM,TCOM,TMO,TMUS,TRIP,TXN,UL,UNH,V,VRTX,WFC
2015-03-31,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.0,0.034482758620689655,0.0,0.034482758620689655,0.0,0.0,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.0,0.0,0.034482758620689655,0.0,0.0,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.0,0.0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0
2015-06-30,0.03448275862068965,0.03448275862068965,0.03448275862068965,0.03448275862068965,0.0,0.03448275862068965,0.03448275862068965,0.03448275862068965,0.0,0.03448275862068965,0.03448275862068965,0.0,0.03448275862068965,0.0,0.03448275862068965,0.03448275862068965,0.0,0.0,0.0,0.0,0.03448275862068965,0.03448275862068965,0.0,0.0,0.03448275862068965,0.0,0.03448275862068965,0.03448275862068965,0.03448275862068965,0.0,0.0,0.03448275862068965,0.0,0.0,0.03448275862068965,0.03448275862068965,0.0,0.03448275862068965,0.0,0.03448275862068965,0.03448275862068965,0.0,0.03448275862068965,0.03448275862068965,0.03448275862068965,0.03448275862068965,0.03448275862068965
2015-09-30,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0
2015-12-31,0.0,0.028571428571428567,0.028571428571428567,0.028571428571428567,0.028571428571428567,0.028571428571428567,0.0,0.028571428571428567,0.028571428571428567,0.028571428571428567,0.0,0.028571428571428567,0.028571428571428567,0.028571428571428567,0.0,0.028571428571428567,0.0,0.0,0.0,0.0,0.028571428571428567,0.028571428571428567,0.028571428571428567,0.028571428571428567,0.0,0.0,0.028571428571428567,0.028571428571428567,0.028571428571428567,0.028571428571428567,0.028571428571428567,0.028571428571428567,0.028571428571428567,0.028571428571428567,0.028571428571428567,0.0,0.028571428571428567,0.028571428571428567,0.028571428571428567,0.0,0.028571428571428567,0.028571428571428567,0.028571428571428567,0.028571428571428567,0.028571428571428567,0.028571428571428567,0.028571428571428567
2016-03-31,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0
2016-06-30,0.0,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.0,0.039999999999999994,0.0,0.0,0.0,0.039999999999999994,0.0,0.039999999999999994,0.0,0.0,0.039999999999999994,0.0,0.039999999999999994,0.0,0.0,0.039999999999999994,0.0,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.0,0.0,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.0,0.039999999999999994,0.0,0.0,0.0,0.0,0.039999999999999994,0.039999999999999994,0.0,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.0,0.039999999999999994,0.0
2016-09-30,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.0
2016-12-30,0.05263157894736841,0.0,0.0,0.0,0.0,0.0,0.05263157894736841,0.05263157894736841,0.05263157894736841,0.05263157894736841,0.05263157894736841,0.0,0.0,0.05263157894736841,0.0,0.0,0.0,0.05263157894736841,0.05263157894736841,0.0,0.05263157894736841,0.05263157894736841,0.0,0.0,0.0,0.05263157894736841,0.05263157894736841,0.0,0.0,0.0,0.05263157894736841,0.0,0.0,0.0,0.05263157894736841,0.0,0.0,0.0,0.0,0.05263157894736841,0.0,0.05263157894736841,0.0,0.05263157894736841,0.0,0.0,0.05263157894736841
2017-03-31,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.0,0.0,0.02439024390243903,0.02439024390243903,0.0,0.0,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.0,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.0,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903,0.02439024390243903
2017-06-30,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.0,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0
