,End of Period,AAPL,ABBV,ADBE,AMZN,BKNG,BUD,BX,C,CHH,CICHY,CS,CSCO,CVS,DAL,DAR,EXPE,FDP,H,HLT,HPQ,IHG,INTU,ISRG,JNJ,LLY,MAR,MET,MKC,MKL,MRK,NVDA,NWL,ORCL,PFE,PRU,PVH,SFM,TCOM,TMO,TMUS,TRIP,TXN,UL,UNH,V,VRTX,WFC,Date,risk
10,2017-09-29,6.474216360969761e-13,0.7176079780732787,3.9497876940930813e-13,-1.0249611863089101e-14,-6.061937104158994e-14,7.667108244689989e-13,1.345785394826357e-13,9.545107663836146e-13,5.033048364125162e-14,6.009032608928065e-13,7.425503922563233e-13,8.012303982985908e-13,1.847177037780184e-13,-3.281759106982622e-13,1.212595569574648e-12,-1.0066377112491746e-13,-3.2848770495286997e-13,1.03688003141205e-12,1.6266224906007126e-12,2.4966563359800943e-12,-1.511669559263279e-13,6.524158738137553e-13,1.369130626016998e-12,-5.664237494322652e-15,3.4685392588038086e-13,1.052956883376253e-12,6.477585285655526e-13,4.576493081019585e-13,1.0126093463929773e-12,9.397851228437264e-14,0.2823920218969418,-5.219214447296576e-13,-1.1196717902442585e-13,6.395355387125379e-13,1.5883705632544273e-14,1.1180177449028137e-12,-4.737934820149863e-13,-7.561752181284959e-14,7.87861589659967e-13,1.553353408673867e-13,5.52321802843265e-13,4.037746895072156e-12,6.819087197875323e-13,4.948817466043291e-13,1.4689281397828523e-12,4.634184689317026e-12,7.2047931612833e-14,,1.0
11,2017-12-29,1.3352960210530873e-11,1.221363828016595e-11,4.367099145818685e-11,2.005590335456559e-10,-2.705849791812058e-12,-2.3112146328887396e-12,-1.0511198264344614e-12,2.496181322364112e-12,1.494322779897604e-10,1.480950076038232e-11,1.6575844407525774e-11,2.8443855960058082e-11,-4.7625668828057425e-12,3.377867022847738e-11,3.4923231582536215e-12,-6.6372279027062094e-12,4.877742289933874e-12,4.7867593928734434e-11,2.8643276230644888e-11,5.850506352338364e-12,7.49919166684396e-11,1.6057781034118447e-11,4.771586314977801e-12,1.005245418763827e-11,2.6867165201793825e-13,5.027382491033708e-10,-1.0418578043930107e-12,9.990133901361363e-13,7.21437728637144e-12,-4.91855692647884e-12,1.125377113157617e-11,-6.56677137012071e-12,-1.4446982780419911e-13,2.4896754423406377e-12,9.72787930022421e-12,9.480199117719627e-12,0.9999999986907263,-6.382661849776689e-12,1.3565392515532454e-12,4.047495566180649e-12,-5.470634747620777e-12,4.635109549649687e-11,-1.6295363462418663e-12,2.0571760316415155e-11,1.057057911965239e-11,-1.7579384611759758e-13,1.4063151532723937e-11,,1.0
12,2018-03-29,1.203100023146736e-12,1.0415783812670137e-12,0.3314630730085356,0.6685369267455457,8.896353788364359e-11,1.3119157539602664e-12,2.3622895448662127e-12,-4.830550692374427e-13,2.9312847740756054e-12,1.0584572275896288e-11,1.1905639674329384e-13,9.496621472239451e-12,-9.805916291307343e-13,9.78201430362598e-13,3.7244018608272567e-13,-1.6216900374681855e-13,5.195172939203683e-13,3.1208993022948795e-12,1.1906955129666018e-12,3.129261042761429e-12,6.503780675840192e-13,6.966386757037429e-12,1.0223802717729921e-11,-1.3360195401179585e-13,-1.4530516987790797e-13,1.492540957901118e-12,-3.617849493999493e-13,3.8413207631562564e-12,2.833726373809539e-12,1.2127154388030996e-12,2.549697815296173e-11,-1.4682190428756691e-12,7.481854254094542e-13,1.2616475578586928e-12,-5.66469981411015e-13,7.734771936641717e-12,6.580084275932687e-13,3.812778765888753e-12,5.855240934268616e-12,5.392011031873111e-13,3.751721255945506e-11,1.0859445147199543e-12,2.409842282256456e-12,8.188521726060736e-13,3.2695096830307978e-12,5.425867975404406e-12,-1.0222506751053555e-12,,1.0
13,2018-06-29,4.641766024571468e-13,6.921448403318447e-14,5.913449592305049e-13,1.7236665085152762e-12,4.4696893160411816e-14,1.4162465735400636e-14,1.1709833630240257e-13,8.515792479850703e-14,1.1855707413770002e-14,-3.7810510414026687e-14,-2.091990086757386e-14,1.0095329577508476e-13,2.01351764977095e-13,-1.5430333979479163e-14,1.1910764142354649e-12,3.1851937127936496e-13,7.853539901143804e-14,1.143733999554062e-13,1.0263989325591288e-13,1.4390410092817116e-13,1.74144309570849e-13,2.2011882335462496e-12,1.2114882833396296e-12,2.4691033796256514e-14,5.632580897068847e-13,5.746539863286983e-15,3.285180816470181e-14,4.539688964259191e-13,-3.1858267501066206e-15,5.719475454143089e-13,9.781579601064467e-14,1.497446506939944e-13,3.6742794129361316e-14,1.5852038457213635e-13,-1.5794874639828105e-14,6.606797990921092e-14,6.923128316294568e-15,1.1283304940771974e-13,9.532496125205367e-14,5.784167859707814e-14,0.9999999999858207,2.5190568078438624e-13,1.0079650968118033e-13,1.5079539988225625e-12,5.295551563838764e-13,2.0141820425618843e-13,2.694177363486004e-13,,1.0
14,2018-09-28,1.1828086524787494e-10,5.100718922339854e-13,1.2589094870711234e-11,4.080355328372175e-11,-2.9910161269671333e-12,-8.212878905280674e-12,6.9219919638475e-11,7.127561374887604e-12,1.207074688888293e-11,-1.4613808737584882e-12,-1.0192144905264984e-12,2.1042876922336218e-11,1.1573389291060518e-10,4.1002446147188315e-11,-3.4501766471700017e-12,8.330706411700857e-12,-1.108378068985509e-11,1.5698642521200994e-12,5.117039760123097e-13,2.1428667075232187e-11,-7.948931089443398e-13,1.4951954134782584e-11,6.220543838618804e-11,2.3306638275739096e-11,0.9999999988860448,2.881764501242537e-12,7.342775987721858e-12,2.13529949777332e-11,1.0846650192737031e-11,3.9157393411525707e-11,5.263685445849713e-11,-9.57233177451678e-12,4.027409067463495e-11,1.3276632062454066e-10,9.774437937355903e-12,-3.925968429234609e-12,1.6473835549970798e-10,-1.065740217927269e-11,4.3411660924709514e-11,3.7135219993441234e-11,-6.121797595583191e-12,-3.0896330405332133e-12,-1.2227381130788473e-12,8.7540004998629e-12,2.0540870683993554e-11,1.977085275043046e-11,-4.4866168521201115e-12,,1.0
15,2018-12-31,-1.5619240026858255e-12,1.5402487102309664e-11,1.4364696514903016e-12,-6.61996046243732e-13,3.0726431011104535e-12,-4.1622732825503513e-13,5.359103136881333e-13,-1.0339586309068212e-12,2.9288057537799713e-12,8.69025381623022e-12,-1.058341699930657e-12,4.024865902126788e-12,1.5789100708625981e-12,3.2490011873646137e-12,1.9452457137373705e-11,2.9546756112734442e-12,1.9806517020768722e-12,2.3279787059854523e-12,4.4319484603716476e-12,4.2765536939837997e-13,3.3904040839930298e-12,2.603717184740917e-12,1.3656788595443846e-12,7.723790810241056e-12,0.0707160910414938,1.4201071749232987e-12,4.047311698876559e-12,1.8031397538595355e-10,2.900487961128358e-12,0.9292839085228828,-3.6195409745392417e-12,7.66539007611817e-12,3.516747635429119e-12,1.8458716796998904e-11,8.310576199536974e-13,-2.2080239747013567e-12,3.079061818869458e-12,-1.0276893607361416e-12,5.89874602163377e-12,5.170864225002952e-12,9.256715748140148e-11,3.932568164426431e-12,1.2276281045415139e-11,7.795316746904463e-12,3.541681732671567e-12,2.2734709082150256e-12,3.944477622331866e-12,,1.0
16,2019-03-29,5.509500778901851e-13,-5.942225092605356e-13,4.3761028800168383e-13,3.8579990853746896e-13,-2.9571210462951826e-13,1.2755446849391687e-12,5.201997059468973e-13,5.882638303482022e-13,-2.5699441627779352e-14,-1.7745931564340582e-13,-6.857888396366092e-14,1.0389073173824557e-12,-7.111575054242099e-13,-2.0895840112337293e-13,1.7942627263003212e-13,-1.1827168109528488e-13,-3.967639610259711e-13,-6.766046560724392e-14,3.1032596582192113e-13,-4.33933045933704e-13,1.358955329932465e-13,2.3209855595808425e-12,4.76400130029722e-13,2.4249894367492315e-14,2.0169244032902453e-13,2.6644656913773786e-13,-1.8877058753498645e-13,5.062304295444165e-14,-4.251534313485167e-13,5.71510778727922e-14,1.901951296721772e-12,-7.586731570517638e-13,5.475684703090316e-13,-3.4454995246701574e-13,1.7450239769568455e-13,1.723427491002898e-12,-5.179108981922971e-13,0.9999999999915596,8.286148825549793e-13,4.9547032655770086e-14,-4.666159940414756e-13,1.3653596272819288e-13,1.4608795159421048e-13,-3.2911538988224616e-13,4.804066604593023e-13,9.503219698034064e-14,-1.1035550277848483e-13,,1.0
17,2019-06-28,8.874489365536429e-12,-4.020339967571136e-12,2.5233890471825217e-11,1.3515672368292602e-11,1.5040951854954333e-11,1.5681720042942205e-11,0.9999999993132347,3.9451062888393234e-11,3.582447789683254e-11,3.8819170603180866e-12,1.0208483226985298e-11,4.903693150998656e-12,5.500367255708335e-12,2.8581813691864604e-11,-3.892104091113932e-12,3.421592652396432e-11,2.9256385086518593e-12,1.2423978127374852e-11,9.579397715844226e-11,1.6936955088900046e-11,2.4590591898805152e-11,3.912145352470242e-12,-3.78613017082699e-12,4.294913406903897e-12,-6.755795183159083e-12,3.666530864671728e-11,9.588137242783389e-11,9.174457658504766e-12,2.426600231403609e-11,6.309874293787754e-12,-4.3588543715486174e-12,4.717430368596001e-12,1.3995561730733352e-11,9.351316992435853e-12,2.5689856125911218e-11,-1.0772083235703737e-11,-5.851527939773703e-12,-8.162588455570319e-12,1.6621008888315095e-11,1.5185121498732083e-11,-5.503597935847194e-12,2.1103621167825928e-11,1.995153224596205e-11,2.545213196212785e-12,3.2117313768239064e-11,2.322381640183515e-12,2.2592907309540866e-12,,1.0
18,2019-09-30,3.4899733350077206e-11,9.693974051347249e-12,4.156398199767862e-13,-3.918706128956122e-13,8.536286735291156e-12,1.3468777407333026e-11,2.0750232672623816e-11,3.0633363959224254e-12,6.14270418206046e-12,8.585152765446245e-14,5.4932643780935425e-12,-7.838148482167262e-13,1.7439763199701834e-10,5.3564724507319756e-12,1.4811673483942693e-12,5.28470615929579e-12,0.45023565754867534,1.935849272380669e-12,1.3127624164313862e-12,-3.22396948611544e-13,3.484425228259825e-13,6.1261040181788455e-12,5.987776636611333e-12,2.8243627175962777e-13,4.801923799309639e-12,-1.299096443085877e-12,1.1225168675589358e-12,5.2177031425263905e-12,1.554080950998121e-11,4.5909788224155865e-12,9.563465419475057e-12,0.5497643420441463,1.8843004698132405e-12,-2.791134506444252e-12,-1.221272270098907e-12,-3.120776347810146e-13,6.011782837085792e-12,-3.680051623507022e-12,3.5327086308757303e-12,1.1489644311793397e-11,-2.931570097384468e-12,3.504109015543115e-11,2.630425932022872e-12,-9.871229689604618e-13,3.5129236419694148e-12,-7.586793087995038e-15,1.2015490051759509e-11,,1.0
19,2019-12-31,4.2158170250188663e-11,9.966854051873649e-12,1.1630558455200874e-11,1.1859750773817633e-12,1.1082384718159624e-12,-5.142192985945248e-12,7.786910481408867e-12,7.40894066974262e-12,8.694365121958565e-12,5.7420448270440065e-12,3.00803962591471e-12,-2.4593063587062503e-12,1.0491783688653266e-11,-7.784804475183008e-13,0.9999999996200857,-4.393080707949579e-12,-7.125402566263524e-13,1.5289257930813623e-11,1.1694333747494756e-11,3.0060480216225793e-12,3.1941052131222366e-12,-2.007204943156208e-12,2.8576864167057744e-12,5.650312477611947e-12,1.0058350614056952e-11,1.509436634216887e-11,2.2757092694868842e-12,3.570267334284022e-12,-2.5775220817047913e-12,2.8088137086797376e-12,7.219899303402063e-11,-3.270833381135921e-13,-2.7134219293367358e-12,3.490539961319559e-12,3.1547179675922965e-13,9.73316719764856e-12,-1.475774132261765e-12,6.5337050985489035e-12,4.276991993485281e-12,-1.6279505065549712e-12,-3.433576356432101e-12,-1.6735648561538731e-12,-2.3247881991425174e-12,9.137367735628135e-11,2.8873591533548917e-12,3.442198617559428e-11,1.6626300653258455e-12,,1.0
